單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
外甥,頂日仔你欲搬厝，恁阿舅專工請假來共你鬥搬，你毋但無感謝伊，閣嫌伊跤手慢，誠實是「外甥食母舅，親像食豆腐」。,"Tíng-ji̍t-á lí beh puann-tshù, lín a-kū tsuan-kang tshíng-ká lâi kā lí tàu puann, lí m̄-nā bô kám-siā--i, koh hiâm i kha-tshiú bān, tsiânn-si̍t sī “guē-sing tsia̍h bú-kū, tshin-tshiūnn tsia̍h tāu-hū”.。",前幾天你要搬家，你舅舅特地請假來幫你搬，你非但沒有感謝他，還嫌他笨手笨腳，你這個外甥真是「占盡你舅舅的便宜」。,外甥食母舅，親像食豆腐。,完整,2025-08-27 14:56:02,教育部臺灣台語常用詞辭典
大人,伊總是怨嘆𪜶爸母較為小弟，人咧講：「十指伸出，無平長。」序大人無論按怎做，加減都會予囝兒序細感覺無公平。,"I tsóng-sī uàn-thàn in pē-bú khah uī sió-tī, lâng teh kóng, “Tsa̍p tsáinn tshun-tshut, bô pênn tn̂g.” Sī-tuā-lâng bô-lūn án-tsuánn tsò, ke-kiám to ē hōo kiánn-jî sī-sè kám-kak bô kong-pênn.。」父母親不論怎麼做，多少還是會讓子女覺得有不公的地方。",他總是抱怨他的父母比較偏坦弟弟，人們說：「十根手指頭伸出來，長短也不一樣。」父母親不論怎麼做，多少還是會讓子女覺得有不公的地方。,十指伸出，無平長。,完整,2025-08-27 14:58:18,教育部臺灣台語常用詞辭典
大官,伊佇小學教冊三十外冬，學生有的做大官，有的做教授，伊定定笑講：「有狀元學生，無狀元先生。」,"I tī sió-ha̍k kà-tsheh sann-tsa̍p-guā tang, ha̍k-sing ū ê tsò tuā-kuann, ū ê tsò kàu-siū, i tiānn-tiānn tshiò kóng, “Ū tsiōng-guân ha̍k-sing, bô tsiōng-guân sian-sinn.”。」",他在小學教書三十多年，學生有的做大官，有的當教授，他常常笑說：「有狀元學生，沒有狀元老師。」,有狀元學生，無狀元先生。,完整,2025-08-27 14:58:29,教育部臺灣台語常用詞辭典
大家,這个囡仔遮爾好禮，俗語講：「一人看出一家，新婦看出大家。」相信𪜶兜的家教必然嘛誠好。,"Tsit ê gín-á tsiah-nī hó-lé, sio̍k-gí kóng, “Tsi̍t lâng khuànn-tshut tsi̍t ke, sin-pū khuànn-tshut ta-ke.” Siong-sìn in tau ê ka-kàu pit-jiân mā tsiânn hó.。」相信他們家的家教必定也很好。",這個小孩這麼有禮貌，俗話說：「由個人看出家庭的教養，由媳婦看出婆婆的涵養。」相信他們家的家教必定也很好。,一人看出一家，新婦看出大家。,完整,2025-08-27 14:53:16,教育部臺灣台語常用詞辭典
夫妻,少年夫妻毋免驚無家伙，人所說：「翁某若仝心，烏塗變成金」。翁仔姐相楗和齊拍拚定著會成功。,"Siàu-liân hu-tshe m̄-bián kiann bô ke-hué, lâng sóo sueh, “Ang-bóo nā kāng-sim, oo-thôo piàn-sîng kim”. Ang-á-tsiá sio-kīng hô-tsê phah-piànn tiānn-tio̍h ē sîng-kong.。夫妻相互扶持合作共同努力一定能成功。",年輕夫妻不必擔心沒有恆產，人們說：「夫妻若同心協力，困境也能創造財富」。夫妻相互扶持合作共同努力一定能成功。,翁某若仝心，烏塗變成金。,完整,2025-08-27 14:57:13,教育部臺灣台語常用詞辭典
奶母,嬰仔愛坐奶母車。,Enn-á ài tsē ling-bú-tshia.。,嬰兒要坐嬰兒車。,奶母車,完整,2025-08-27 14:55:11,教育部臺灣台語常用詞辭典
妗婆,妗婆雖然真老矣，精神猶真好。,"Kīm-pô sui-jiân tsin lāu--ah, tsing-sîn iáu tsin hó.。",舅婆雖然很老了，但精神依然很好。,妗婆,完整,2025-08-27 14:57:33,教育部臺灣台語常用詞辭典
姑丈,伊是阮姑丈。,I sī guán koo-tiūnn.。,他是我的姑丈。,姑丈,完整,2025-08-27 14:56:24,教育部臺灣台語常用詞辭典
姑婆,較緊睏！無，虎姑婆欲來矣。,"Khah kín khùn! Bô, Hóo-koo-pô beh lâi--ah.。",趕快睡！不然，虎姑婆要來了。,虎姑婆,完整,2025-08-27 14:55:14,教育部臺灣台語常用詞辭典
娘囝,我一个好娘囝。,Guá tsi̍t ê hó niû-kiánn.。,我的好妻子。,娘囝,完整,2025-08-27 14:57:50,教育部臺灣台語常用詞辭典
婚姻,阮查某囝欲嫁進前，我共伊開破講「翁仔某是相欠債」，愛互相尊重，婚姻才會久長。,"Guán tsa-bóo-kiánn beh kè tsìn-tsîng, guá kā i khui-phuà kóng “ang-á-bóo sī sio-khiàm-tsè”, ài hōo-siong tsun-tiōng, hun-in tsiah ē kú-tn̂g.。",我女兒出嫁前，我開導他說「夫妻是前世因果」，要互相尊重，婚姻才能長久。,翁仔某是相欠債。,完整,2025-08-27 14:54:42,教育部臺灣台語常用詞辭典
婦人人,阿三上愛佮婦人人狗鯊，實在有夠顧人怨的。,"A-sam siōng ài kah hū-jîn-lâng káu-sua, si̍t-tsāi ū-kàu kòo-lâng-uàn--ê.。",張三最喜歡跟女人開黃腔，實在惹人厭。,狗鯊,完整,2025-08-27 14:57:04,教育部臺灣台語常用詞辭典
媽媽,媽媽今仔日的面色怪怪，咱愛較乖咧，才袂予人罵。,"Má-mah kin-á-ji̍t ê bīn-sik kuài-kuài, lán ài khah kuai--leh, tsiah bē hōo lâng mē.。",媽媽今天的臉色怪怪的，我們要乖一點，才不會被罵。,面色,完整,2025-08-27 14:53:48,教育部臺灣台語常用詞辭典
嬸婆,仝祧仔內的人攏知影「人未到，聲先到」的，一定是九嬸婆仔。,"Kāng thiāu-á-lāi ê lâng lóng tsai-iánn “lâng buē kàu, siann sing kàu”--ê, it-tīng sī káu-tsím-pô--á.。",同宗族的人都知道「人尚未出現，就先聽到聲音的那個大嗓門」，肯定就是九嬸婆。,人未到，聲先到。,完整,2025-08-27 14:56:27,教育部臺灣台語常用詞辭典
家屬,有的人做官真清廉，過身了後，𪜶家屬的生活猶原困苦。莫怪人咧講：「做官若清廉，食飯著攪鹽。」,"Ū ê lâng tsò-kuann tsin tshing-liâm, kuè-sin liáu-āu, in ka-sio̍k ê sing-ua̍h iu-guân khùn-khóo. Bo̍k-kuài lâng teh kóng, “Tsò-kuann nā tshing-liâm, tsia̍h-pn̄g tio̍h kiáu iâm.”。難怪人家說：「當官若清廉，吃飯得拌鹽。」",有些人當官很清廉，過世之後，家屬的生活依然很困苦。難怪人家說：「當官若清廉，吃飯得拌鹽。」,做官若清廉，食飯著攪鹽。,完整,2025-08-27 14:55:36,教育部臺灣台語常用詞辭典
家己,阿福嬸仔的後生攏娶某生囝矣，老翁過身了後，後生新婦隨人無閒事業、顧囡仔，伊煞著家己一个人生活，真正是「十囝十新婦，賰一个老寡婦」。,"A-hok tsím--á ê hāu-senn lóng tshuā-bóo senn-kiánn--ah, lāu-ang kuè-sin liáu-āu, hāu-senn sin-pū suî-lâng bô-îng sū-gia̍p, kòo gín-á, i suah tio̍h ka-kī tsi̍t ê lâng sing-ua̍h, tsin-tsiànn sī “tsa̍p kiánn tsa̍p sin-pū, tshun tsi̍t ê lāu kuá-hū”.。",阿福嬸的兒子都娶老婆生小孩了，老伴去世以後，兒子媳婦各自忙事業、顧小孩，他卻得自己一個人生活，真的是「兒女多不是福」。,十囝十新婦，賰一个老寡婦。,完整,2025-08-27 14:55:56,教育部臺灣台語常用詞辭典
家庭,俗語講：「家和萬事興，家亂萬世窮。」因為家庭是每一个人閃風覕雨的所在，家庭和諧氣氛好，人就會快活，做事業毋才會順序。,"Sio̍k-gí kóng, “Ka hô bān-sū hing, ka luān bān-sè kîng.” In-uī ka-tîng sī muí tsi̍t ê lâng siám-hong bih-hōo ê sóo-tsāi, ka-tîng hô-hâi khì-hun hó, lâng tō ē khuìnn-ua̍h, tsò sū-gia̍p m̄-tsiah ē sūn-sī.。」因為家庭是每一個人的避風港，家庭和諧氣氛好，人便會輕鬆愉快，開創事業才會順利。",俗話說：「家和萬事興，家亂萬世窮。」因為家庭是每一個人的避風港，家庭和諧氣氛好，人便會輕鬆愉快，開創事業才會順利。,家和萬事興，家亂萬世窮。,完整,2025-08-27 14:52:59,教育部臺灣台語常用詞辭典
家族,古早人上慼人做賊，人講「一遍賊，百世賊」，偷提人的物件是會害你的家族仔面皮卸落地呢。,"Kóo-tsá-lâng siōng tsheh lâng tsò tsha̍t, lâng kóng “tsi̍t piàn tsha̍t, pah sì tsha̍t”, thau-the̍h lâng ê mi̍h-kiānn sī ē hāi lí ê ka-tso̍k-á bīn-phuê sià lo̍h tē--neh.。",以前的人最痛恨人家當小偷，因為「雖然只偷一回，但是世世代代都是小偷的族類」，偷別人的東西是會讓無辜的後代子孫蒙羞。,一遍賊，百世賊。,完整,2025-08-27 14:53:33,教育部臺灣台語常用詞辭典
對方,這改比賽去予對方修理甲塗塗塗，佇檢討會裡，教練予人檢討半點鐘，會使講是「滿面專豆花」。,"Tsit kái pí-sài khì hōo tuì-hong siu-lí kah thôo-thôo-thôo, tī kiám-thó-huē--lí, kàu-liān hōo lâng kiám-thó puànn tiám-tsing, ē-sái kóng sī “muá-bīn tsuan tāu-hue”.。",這次比賽被對方修理得慘兮兮，在檢討會中，教練被人檢討了半個小時，可以說是「狼狽不堪」。,滿面專豆花。,完整,2025-08-27 14:57:38,教育部臺灣台語常用詞辭典
小妹,雖然阿媽喙講「大人生日食肉，囡仔生日食拍」，其實早就準備小妹上愛的尪仔欲送伊做生日禮物矣啦。,"Sui-jiân a-má tshuì kóng “tuā-lâng senn-ji̍t tsia̍h bah, gín-á senn-ji̍t tsia̍h phah”, kî-si̍t tsá tō tsún-pī sió-muē siōng ài ê ang-á beh sàng i tsò senn-ji̍t lé-bu̍t--ah--lah.。",雖然奶奶嘴裡說「大人生日吃肉，小孩生日挨打」，其實早就準備好小妹最喜歡的娃娃要送給他了啦。,大人生日食肉，囡仔生日食拍。,完整,2025-08-27 14:54:39,教育部臺灣台語常用詞辭典
小弟,咱的風俗講：「收瀾收離離，明年招小弟。」雖然是真心適，毋過重男輕女較無合時代。若共這句話改做「收瀾收離離，囡仔好育飼。」按呢敢毋是較妥當咧？,"Lán ê hong-sio̍k kóng, “Siu-nuā siu-lī-lī, mê-nî tsio sió-tī.” Sui-jiân sī tsin sim-sik, m̄-koh tiōng-lâm-khin-lí khah bô ha̍h sî-tāi. Nā kā tsit kù uē kái-tsò “Siu-nuā siu-lī-lī, gín-á hó io-tshī.” Án-ne kám m̄ sī khah thò-tòng--leh?。」這是我們的風俗，風俗是很有趣，卻重男輕女較不合時宜。如果將這句話改為「收口水收乾淨，小孩子好養育。」這樣是不是比較妥當呢？",人家說：「收口水收乾淨，明年招個小弟弟來。」這是我們的風俗，風俗是很有趣，卻重男輕女較不合時宜。如果將這句話改為「收口水收乾淨，小孩子好養育。」這樣是不是比較妥當呢？,收瀾收離離，明年招小弟。,完整,2025-08-27 14:56:59,教育部臺灣台語常用詞辭典
少年家,你毋通叫是彼个少年家「倒吊無墨水」呢，人伊讀冊誠綿爛，學問飽滇閣袂臭屁。,"Lí m̄-thang kiò-sī hit ê siàu-liân-ke “tò-tiàu bô ba̍k-tsuí”--neh, lâng i tha̍k-tsheh tsiânn mî-nuā, ha̍k-būn pá-tīnn koh bē tshàu-phuì.。",你別以為那個年輕人「胸無點墨」喔，他讀書很認真，學問很豐富又不喜歡吹噓。,倒吊無墨水。,完整,2025-08-27 14:55:45,教育部臺灣台語常用詞辭典
序細,伊就是咧操煩若真正百歲年老了後，囝兒序細為著財產承續分袂平棒煞起冤家，這聲就害矣，較輸講趁這陣人猶健健，先共財產分分咧，才袂時到害伊「死目毋願瞌」。,"I tō sī teh tshau-huân nā tsin-tsiànn pah-huè-nî-lāu liáu-āu, kiánn-jî sī-sè uī-tio̍h tsâi-sán sîng-sio̍k pun bē pênn-pāng suah khí uan-ke, tsit-siann tō hāi--ah, khah-su kóng thàn tsit-tsūn lâng iáu kiānn-kiānn, sing kā tsâi-sán pun-pun--leh, tsiah bē sî kàu hāi i “sí ba̍k m̄ guān kheh”.。",他擔心等他過世後，那些兒孫為了要分財產搞得惡臉相向，這下子就糟了，倒不如趁現在人還健在，先將財產分一分，到時候才不會害他「死不瞑目」。,死目毋願瞌。,完整,2025-08-27 14:54:11,教育部臺灣台語常用詞辭典
後生,阿財仔下真濟苦心佮所費咧共𪜶後生栽培，向望伊會當出頭天，結局伊毋但大學讀無畢業，閣欲食毋討趁，顛倒是𪜶查某囝較有才情，研究所都猶未出業，幾若間公司就相爭欲共倩，阿財仔怨嘆講：「豬毋大，大對狗去。」,"A-tsâi--á hē tsin tsē khóo-sim kah sóo-huì teh kā in hāu-senn tsai-puê, ǹg-bāng i ē-tàng tshut-thâu-thinn, kiat-kio̍k i m̄-nā tāi-ha̍k tha̍k bô pit-gia̍p, koh beh tsia̍h m̄ thó-thàn, tian-tò sī in tsa-bóo-kiánn khah ū tsâi-tsîng, gián-kiù-sóo to iáu-buē tshut-gia̍p, kuí-nā king kong-si tō sio-tsenn beh kā tshiànn, A-tsâi--á uàn-thàn kóng, “Ti m̄ tuā, tuā tuì káu--khì.”。」",阿財花費了許多苦心和費用栽培他兒子，希望他能出人頭地，結果他不但大學無法畢業，還好逸惡勞，反而是他女兒比較有才華，研究所還沒畢業，好幾間公司就搶著要聘用他，阿財嘆氣說：「事與願違。」,豬毋大，大對狗去。,完整,2025-08-27 14:55:28,教育部臺灣台語常用詞辭典
心肝仔囝,我心肝仔囝的。,Guá sim-kuann-á-kiánn--ê.。,我的心肝寶貝。,心肝仔囝,完整,2025-08-27 14:53:39,教育部臺灣台語常用詞辭典
心肝寶貝,「龜跤龜內肉」，無論查某囝抑後生，攏是序大人的心肝寶貝。,"“Ku-kha ku-lāi bah”, bô-lūn tsa-bóo-kiánn ia̍h hāu-senn, lóng sī sī-tuā-lâng ê sim-kuann pó-puè.。",「手心手背都是肉」，不論是女兒或兒子，都是父母的心肝寶貝。,龜跤龜內肉。,完整,2025-08-27 14:54:31,教育部臺灣台語常用詞辭典
我家,阮牽手當咧無閒的時陣，我家婆講欲替伊煎一盤菜脯卵請人客，盍會知影「好好鱟刣甲屎那流」，煞煎甲臭火焦兼著火。,"Guán khan-tshiú tng-teh bô-îng ê sî-tsūn, guá ke-pô kóng beh thè i tsian tsi̍t puânn tshài-póo-nn̄g tshiánn lâng-kheh, khah ē tsai-iánn “hó-hó hāu thâi kah sái ná lâu”, suah tsian kah tshàu-hué-ta kiam to̍h-hué.。",內人正忙的時候，我多管閒事主動要替他煎一盤蘿蔔乾炒蛋給客人吃，哪裡知道「成事不足，敗事有餘」，竟然炒得焦黑不堪。,好好鱟刣甲屎那流。,完整,2025-08-27 14:58:07,教育部臺灣台語常用詞辭典
新娘,俗語講：「肉欲予人食，骨毋予人齧。」較早結婚的時，新郎這爿扛豬爿到新娘彼頭的時，新娘彼爿定著愛共豬頭、豬尾硩佇𣛮台，予人扛轉去還新郎，按呢才有照結婚的禮俗咧行。,"Sio̍k-gí kóng, “Bah beh hōo lâng tsia̍h, kut m̄ hōo lâng khè.” Khah-tsá kiat-hun ê sî, sin-lông tsit-pîng kng ti-pîng kàu sin-niû hit thâu ê sî, sin-niû hit-pîng tiānn-tio̍h ài kā ti-thâu, ti-bué teh tī siānn-tâi, hōo lâng kng tńg-khì hîng sin-lông, án-ne tsiah ū tsiàu kiat-hun ê lé-sio̍k teh kiânn.。」從前結婚的時候，男方抬半條豬到女方家，女方一定要把豬頭、豬尾巴放回扛臺上，讓人抬回男方家，這樣才是遵照結婚的習俗在辦理。",俗話說：「肉可以被人家吃，骨頭是不讓人家啃的。」從前結婚的時候，男方抬半條豬到女方家，女方一定要把豬頭、豬尾巴放回扛臺上，讓人抬回男方家，這樣才是遵照結婚的習俗在辦理。,肉欲予人食，骨毋予人齧。,完整,2025-08-27 14:58:32,教育部臺灣台語常用詞辭典
新婦,老爸老母攏過身去的阿木，是一个欲食毋討趁的貧惰骨，見想的齊是彼款「無米有舂臼，無囝抱新婦」的套頭，到今嘛是十一哥仔光𣮈𣮈，後過食老毋知欲靠啥人咧？,"Lāu-pē lāu-bú lóng kuè-sin--khì ê A-bo̍k, sī tsi̍t ê beh tsia̍h m̄ thó-thàn ê pîn-tuānn-kut, kiàn siūnn--ê tsiâu sī hit khuán “bô bí ū tsing-khū, bô kiánn phō sin-pū” ê thò-thâu, kàu-tann mā sī tsa̍p-it-ko--á kng-khu̍t-khu̍t, āu-kuè tsia̍h-lāu m̄ tsai beh khò siánn-lâng--leh?。",父母雙亡的阿木，是一個不肯努力工作的懶惰鬼，每次想的都是那種「沒米卻有臼；沒有兒子卻領養童養媳」的把戲，折騰到現在還是孑然一身、家徒四壁，往後的晚年生活要倚靠誰呢？,無米有舂臼，無囝抱新婦。,完整,2025-08-27 14:56:39,教育部臺灣台語常用詞辭典
新郎,俗語講：「肉欲予人食，骨毋予人齧。」較早結婚的時，新郎這爿扛豬爿到新娘彼頭的時，新娘彼爿定著愛共豬頭、豬尾硩佇𣛮台，予人扛轉去還新郎，按呢才有照結婚的禮俗咧行。,"Sio̍k-gí kóng, “Bah beh hōo lâng tsia̍h, kut m̄ hōo lâng khè.” Khah-tsá kiat-hun ê sî, sin-lông tsit-pîng kng ti-pîng kàu sin-niû hit thâu ê sî, sin-niû hit-pîng tiānn-tio̍h ài kā ti-thâu, ti-bué teh tī siānn-tâi, hōo lâng kng tńg-khì hîng sin-lông, án-ne tsiah ū tsiàu kiat-hun ê lé-sio̍k teh kiânn.。」從前結婚的時候，男方抬半條豬到女方家，女方一定要把豬頭、豬尾巴放回扛臺上，讓人抬回男方家，這樣才是遵照結婚的習俗在辦理。",俗話說：「肉可以被人家吃，骨頭是不讓人家啃的。」從前結婚的時候，男方抬半條豬到女方家，女方一定要把豬頭、豬尾巴放回扛臺上，讓人抬回男方家，這樣才是遵照結婚的習俗在辦理。,肉欲予人食，骨毋予人齧。,完整,2025-08-27 14:57:35,教育部臺灣台語常用詞辭典
查埔,俗語講：「斷掌查埔做相公，斷掌查某守空房。」以早這句無影無跡的話，害死一寡斷掌的查某人，真正是買命。,"Sio̍k-gí kóng, “Tn̄g-tsiúnn tsa-poo tsò siùnn-kang, tn̄g-tsiúnn tsa-bóo tsiú khang-pâng.” Í-tsá tsit kù bô-iánn-bô-tsiah ê uē, hāi-sí tsi̍t-kuá tn̄g-tsiúnn ê tsa-bóo-lâng, tsin-tsiànn sī bé-miā.。」從前這句毫無根據的話，害慘一些斷掌的婦女，真是要命。",俗語說：「男子斷掌，比較果斷，適合當官；女子斷掌，是剋夫命，會守寡。」從前這句毫無根據的話，害慘一些斷掌的婦女，真是要命。,斷掌查埔做相公，斷掌查某守空房。,完整,2025-08-27 14:53:11,教育部臺灣台語常用詞辭典
查某,阿財仔下真濟苦心佮所費咧共𪜶後生栽培，向望伊會當出頭天，結局伊毋但大學讀無畢業，閣欲食毋討趁，顛倒是𪜶查某囝較有才情，研究所都猶未出業，幾若間公司就相爭欲共倩，阿財仔怨嘆講：「豬毋大，大對狗去。」,"A-tsâi--á hē tsin tsē khóo-sim kah sóo-huì teh kā in hāu-senn tsai-puê, ǹg-bāng i ē-tàng tshut-thâu-thinn, kiat-kio̍k i m̄-nā tāi-ha̍k tha̍k bô pit-gia̍p, koh beh tsia̍h m̄ thó-thàn, tian-tò sī in tsa-bóo-kiánn khah ū tsâi-tsîng, gián-kiù-sóo to iáu-buē tshut-gia̍p, kuí-nā king kong-si tō sio-tsenn beh kā tshiànn, A-tsâi--á uàn-thàn kóng, “Ti m̄ tuā, tuā tuì káu--khì.”。」",阿財花費了許多苦心和費用栽培他兒子，希望他能出人頭地，結果他不但大學無法畢業，還好逸惡勞，反而是他女兒比較有才華，研究所還沒畢業，好幾間公司就搶著要聘用他，阿財嘆氣說：「事與願違。」,豬毋大，大對狗去。,完整,2025-08-27 14:54:02,教育部臺灣台語常用詞辭典
查某囝,阿財仔下真濟苦心佮所費咧共𪜶後生栽培，向望伊會當出頭天，結局伊毋但大學讀無畢業，閣欲食毋討趁，顛倒是𪜶查某囝較有才情，研究所都猶未出業，幾若間公司就相爭欲共倩，阿財仔怨嘆講：「豬毋大，大對狗去。」,"A-tsâi--á hē tsin tsē khóo-sim kah sóo-huì teh kā in hāu-senn tsai-puê, ǹg-bāng i ē-tàng tshut-thâu-thinn, kiat-kio̍k i m̄-nā tāi-ha̍k tha̍k bô pit-gia̍p, koh beh tsia̍h m̄ thó-thàn, tian-tò sī in tsa-bóo-kiánn khah ū tsâi-tsîng, gián-kiù-sóo to iáu-buē tshut-gia̍p, kuí-nā king kong-si tō sio-tsenn beh kā tshiànn, A-tsâi--á uàn-thàn kóng, “Ti m̄ tuā, tuā tuì káu--khì.”。」",阿財花費了許多苦心和費用栽培他兒子，希望他能出人頭地，結果他不但大學無法畢業，還好逸惡勞，反而是他女兒比較有才華，研究所還沒畢業，好幾間公司就搶著要聘用他，阿財嘆氣說：「事與願違。」,豬毋大，大對狗去。,完整,2025-08-27 14:56:33,教育部臺灣台語常用詞辭典
爸母,伊欠人的錢無還，閣罵債主來討錢害伊無面子；家己不孝閣有一大堆理由，嫌爸母雜唸，怨爸母無好好仔栽培，真正是「欠錢怨債主，不孝怨爸母」。,"I khiàm--lâng ê tsînn bô hîng, koh mē tsè-tsú lâi thó-tsînn hāi i bô bīn-tsú; ka-kī put-hàu koh ū tsi̍t-tuā-tui lí-iû, hiâm pē-bú tsa̍p-liām, uàn pē-bú bô hó-hó-á tsai-puê, tsin-tsiànn sī “khiàm tsînn uàn tsè-tsú, put-hàu uàn pē-bú”.。",他欠別人錢沒還，還罵債主來討債害他沒面子；自己不孝還有一大篇理由，嫌爸母嘮叨，怨父母沒好好栽培，真是「欠錢怨債主，不孝怨父母」。,欠錢怨債主，不孝怨爸母。,完整,2025-08-27 14:55:19,教育部臺灣台語常用詞辭典
